materials  IE_A  IE_B  X_A  X_B  xA  xB  Vcell_over_Vatom
ZnO                   9.39400  13.61000  1.65000  3.44000  0.50000  0.50000  0.37025
CdF2                  8.99400  17.42000  1.69000  3.98000  0.33300  0.66700  0.35913
CeO2                  5.53800  13.61000  1.12000  3.44000  0.33300  0.66700  0.95868
SrCl2                 5.69500  12.96000  0.95000  3.16000  0.33300  0.66700  0.47010
YbF2                  6.25300  17.42000  1.25000  3.98000  0.33300  0.66700  0.65959
ThO2                  6.08300  13.61000  1.30000  3.44000  0.33300  0.66700  0.89079
NpO2                  6.26500  13.61000  1.36000  3.44000  0.33300  0.66700  0.77628
PrO2                  5.46100  13.61000  1.13000  3.44000  0.33300  0.66700  0.95502
PuO2                  6.05900  13.61000  1.28000  3.44000  0.33300  0.66700  0.75827
TbO2                  5.86400  13.61000  1.21000  3.44000  0.33300  0.66700  0.90163
UO2                   6.19300  13.61000  1.38000  3.44000  0.33300  0.66700  0.82967
AmO2                  5.99100  13.61000  1.30000  3.44000  0.33300  0.66700  0.68629
CmO2                  6.02200  13.61000  1.30000  3.44000  0.33300  0.66700  0.58775
EuF2                  5.67000  17.42000  1.18000  3.98000  0.33300  0.66700  0.68554
PbF2                  7.41600  17.42000  2.33000  3.98000  0.33300  0.66700  0.27841
CsBr                  3.89300  11.81000  0.79000  2.96000  0.50000  0.50000  0.86356
CsCl                  3.89300  12.96000  0.79000  3.16000  0.50000  0.50000  0.93362
TlCl                  6.10800  12.96000  1.62000  3.16000  0.50000  0.50000  0.30355
Cu3N                  7.72600  14.53000  1.90000  3.04000  0.75000  0.25000  0.55099
YP                    6.21800  10.48000  1.22000  2.19000  0.50000  0.50000  0.66957
Th3As4                6.08300  9.81400  1.30000  2.18000  0.42900  0.57100  0.72595
La3Te4                5.57700  9.00900  1.10000  2.10000  0.42900  0.57100  0.62739
